"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MECM0007","2009-08","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","11",",N","7",",N","1",",N","0",",N","0",",N","20090831","+,,N","20090831","+,,N","20090824",",,N","0",",,N,31,+","0",",,N,31,+","29.7",",,N,24,","147.0",",,,N","0",",,,N"
"US1MECM0007","2009-09","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","6","1,N","3","1,N","0","1,N","0","3,N","0","1,N","20090930","+,3,N","20090930","+,1,N","20090928",",1,N","0","3,,N,30,+","0","1,,N,30,+","21.1","1,,N,28,","35.7","1,,,N","0","1,,,N"
"US1MECM0007","2009-10","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","14",",N","10",",N","2",",N","0",",N","0",",N","20091031","+,,N","20091019",",,N","20091004",",,N","0",",,N,31,+","0",",T,N,19,","61.0",",,N,04,","152.8",",,,N","0",",T,,N"
"US1MECM0007","2009-11","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","9",",N","4",",N","2",",N","0","1,N","0","1,N","20091105",",1,N","20091105",",1,N","20091115",",,N","5","1,,N,05,","5","1,,N,05,","93.5",",,N,15,","178.5",",,,N","5","1,,,N"
"US1MECM0007","2009-12","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","10",",N","9",",N","3",",N","23","3,N","4",",N","20091210",",3,N","20091210",",,N","20091210",",,N","305","3,,N,10,","234",",,N,10,","45.7",",,N,10,","167.9",",,,N","476",",,,N"
"US1MECM0007","2010-01","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","13",",N","9",",N","1",",N","31",",N","7",",N","20100120",",,N","20100118",",,N","20100126",",,N","457",",,N,20,","236",",,N,18,","37.3",",,N,26,","99.2",",,,N","821",",,,N"
"US1MECM0007","2010-02","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","7",",N","5",",N","2",",N","25","1,N","3",",N","20100217",",1,N","20100217",",,N","20100226",",,N","127","1,,N,17,","76",",,N,17,","100.1",",,N,26,","185.2",",,,N","165",",,,N"
"US1MECM0007","2010-03","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","12",",N","11",",N","4",",N","0",",N","0",",N","20100324",",,N","20100324",",,N","20100315",",,N","5",",,N,24,","5",",,N,24,","86.4",",,N,15,","306.7",",,,N","11",",,,N"
"US1MECM0007","2010-04","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","10",",N","6",",N","0",",N","0",",N","0",",N","20100417",",,N","20100417",",,N","20100417",",,N","13",",,N,17,","20",",,N,17,","18.0",",,N,17,","63.1",",,,N","23",",,,N"
"US1MECM0007","2010-05","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","8",",N","4",",N","0",",N","0","3,N","0","1,N","20100531","+,3,N","20100531","+,1,N","20100519",",,N","0","3,,N,31,+","0","1,,N,31,+","15.5",",,N,19,","36.3",",,,N","0","1,,,N"
"US1MECM0007","2010-06","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","18",",N","12",",N","1",",N","0",",N","0",",N","20100630","+,,N","20100630","+,,N","20100607",",,N","0",",,N,30,+","0",",,N,30,+","30.7",",,N,07,","129.3",",,,N","0",",,,N"
"US1MECM0007","2010-07","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","10",",N","7",",N","3",",N","0","1,N","0",",N","20100731","+,1,N","20100731","+,,N","20100722",",,N","0","1,,N,31,+","0",",,N,31,+","77.0",",,N,22,","148.4",",,,N","0",",,,N"
"US1MECM0007","2010-08","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","9",",N","2",",N","1",",N","0","1,N","0",",N","20100831","+,1,N","20100831","+,,N","20100826",",,N","0","1,,N,31,+","0",",,N,31,+","36.3",",,N,26,","44.8",",,,N","0",",,,N"
"US1MECM0007","2010-09","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","13",",N","7",",N","1",",N","0",",N","0",",N","20100930","+,,N","20100930","+,,N","20100904",",,N","0",",,N,30,+","0",",,N,30,+","39.4",",,N,04,","80.1",",,,N","0",",,,N"
"US1MECM0007","2010-10","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","12",",N","7",",N","3",",N","0","2,N","0",",N","20101031","+,2,N","20101031","+,,N","20101016",",,N","0","2,,N,31,+","0",",,N,31,+","51.8",",,N,16,","176.3",",,,N","0",",,,N"
"US1MECM0007","2010-11","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","11",",N","9",",N","2",",N","0","4,N","0",",N","20101126",",4,N","20101126",",,N","20101105",",,N","10","4,,N,26,","10",",,N,26,","36.1",",,N,05,","116.4",",,,N","13",",,,N"
"US1MECM0007","2010-12","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","11",",N","8",",N","2",",N","8",",N","4",",N","20101227",",,N","20101227",",,N","20101213",",,N","183",",,N,27,","170",",,N,27,","73.9",",,N,13,","148.5",",,,N","359",",,,N"
"US1MECM0007","2011-01","43.744","-70.489","44.8","GORHAM 4.9 NNW, ME US","11",",N","6",",N","0",",N","29","2,N","6",",N","20110127",",2,N","20110113",",,N","20110113",",,N","508","2,,N,27,","437",",,N,13,","24.9",",,N,13,","67.5",",,,N","861",",,,N"
