"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TNJF0004","2007-11","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","12",",N","4",",N","1",",N","0",",N","20071130","+,,N","20071115",",,N","0",",,N,30,+","29.0",",,N,15,","56.2",",,,N","0",",,,N"
"US1TNJF0004","2007-12","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","15",",N","7",",N","0",",N","0",",N","20071231","+,,N","20071229",",,N","0",",,N,31,+","18.8",",,N,29,","66.0",",,,N","0",",,,N"
"US1TNJF0004","2008-01","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","11",",N","5",",N","1",",N","0",",N","20080117","+,,N","20080111",",,N","0",",T,N,17,+","34.3",",,N,11,","61.1",",,,N","0",",T,,N"
"US1TNJF0004","2008-02","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","14",",N","9",",N","1",",N","0",",N","20080227",",,N","20080205",",,N","13",",,N,27,","28.4",",,N,05,","97.4",",,,N","18",",,,N"
"US1TNJF0004","2008-03","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","12",",N","9",",N","1",",N","0",",N","20080309",",,N","20080305",",,N","13",",,N,09,","25.4",",,N,05,","105.2",",,,N","13",",,,N"
"US1TNJF0004","2008-04","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","11",",N","8",",N","1",",N","0",",N","20080430","+,,N","20080428",",,N","0",",,N,30,+","25.9",",,N,28,","85.0",",,,N","0",",,,N"
"US1TNJF0004","2008-05","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","13",",N","8",",N","1",",N","0",",N","20080531","+,,N","20080528",",,N","0",",,N,31,+","67.1",",,N,28,","111.6",",,,N","0",",,,N"
"US1TNJF0004","2008-06","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","6",",N","4",",N","0",",N","0",",N","20080630","+,,N","20080629",",,N","0",",,N,30,+","7.4",",,N,29,","21.8",",,,N","0",",,,N"
"US1TNJF0004","2008-07","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","12",",N","9",",N","0",",N","0",",N","20080731","+,,N","20080723",",,N","0",",,N,31,+","15.2",",,N,23,","84.0",",,,N","0",",,,N"
"US1TNJF0004","2008-08","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","6",",N","6",",N","1",",N","0",",N","20080831","+,,N","20080827",",,N","0",",,N,31,+","29.2",",,N,27,","73.4",",,,N","0",",,,N"
"US1TNJF0004","2008-09","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","8",",N","4",",N","1",",N","0",",N","20080930","+,,N","20080909",",,N","0",",,N,30,+","32.3",",,N,09,","47.2",",,,N","0",",,,N"
"US1TNJF0004","2008-10","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","6",",N","5",",N","0",",N","0",",N","20081031","+,,N","20081025",",,N","0",",,N,31,+","9.1",",,N,25,","25.9",",,,N","0",",,,N"
"US1TNJF0004","2008-11","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","8",",N","5",",N","0",",N","0",",N","20081130","+,,N","20081115",",,N","0",",,N,30,+","14.0",",,N,15,","54.3",",,,N","0",",,,N"
"US1TNJF0004","2008-12","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","20",",N","13",",N","1",",N","","","","","20081210",",,N","","","25.9",",,N,10,","167.8",",,,N","",""
"US1TNJF0004","2009-01","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","15","1,N","8","1,N","1","1,N","","","","","20090107",",1,N","","","66.0","1,,N,07,","154.1","1,,,N","",""
"US1TNJF0004","2009-02","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","9",",N","8",",N","0",",N","","","","","20090218",",,N","","","22.6",",,N,18,","76.7",",,,N","",""
"US1TNJF0004","2009-03","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","15",",N","10",",N","0",",N","","","","","20090315",",,N","","","20.8",",,N,15,","77.3",",,,N","",""
"US1TNJF0004","2009-04","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","12",",N","8",",N","0",",N","","","","","20090411",",,N","","","22.9",",,N,11,","76.8",",,,N","",""
"US1TNJF0004","2009-05","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","19",",N","11",",N","0",",N","","","","","20090517",",,N","","","14.2",",,N,17,","110.9",",,,N","",""
"US1TNJF0004","2009-06","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","13",",N","12",",N","1",",N","","","","","20090617",",,N","","","43.9",",,N,17,","145.2",",,,N","",""
"US1TNJF0004","2009-07","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","14",",N","12",",N","0",",N","","","","","20090706",",,N","","","20.1",",,N,06,","100.8",",,,N","",""
"US1TNJF0004","2009-08","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","11","1,N","8","1,N","2","1,N","","","","","20090812",",1,N","","","32.5","1,,N,12,","131.8","1,,,N","",""
"US1TNJF0004","2009-09","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","15","2,N","6","2,N","1","2,N","","","","","20090927",",2,N","","","69.9","2,,N,27,","121.5","2,,,N","",""
"US1TNJF0004","2009-10","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","15",",N","8",",N","0",",N","","","","","20091028",",,N","","","24.1",",,N,28,","99.0",",,,N","",""
"US1TNJF0004","2009-11","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","7",",N","3",",N","1",",N","","","","","20091111",",,N","","","74.9",",,N,11,","109.3",",,,N","",""
"US1TNJF0004","2009-12","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","13",",N","11",",N","2",",N","","","","","20091209",",,N","","","45.7",",,N,09,","133.7",",,,N","",""
"US1TNJF0004","2010-01","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","15",",N","8",",N","0",",N","","","","","20100125",",,N","","","24.1",",,N,25,","99.3",",,,N","",""
"US1TNJF0004","2010-02","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","14",",N","4",",N","0",",N","","","","","20100205",",,N","","","15.0",",,N,05,","38.1",",,,N","",""
"US1TNJF0004","2010-03","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","12",",N","7",",N","0",",N","","","","","20100329",",,N","","","14.5",",,N,29,","56.4",",,,N","",""
"US1TNJF0004","2010-04","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","7",",N","5",",N","0",",N","","","","","20100425","+,,N","","","18.3",",,N,25,+","58.6",",,,N","",""
"US1TNJF0004","2010-05","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","13",",N","5",",N","1",",N","","","","","20100503",",,N","","","45.5",",,N,03,","76.8",",,,N","",""
"US1TNJF0004","2010-06","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","10",",N","7",",N","0",",N","","","","","20100601",",,N","","","24.6",",,N,01,","58.0",",,,N","",""
"US1TNJF0004","2010-07","36.11917","-83.26939","377.6","WHITE PINE 2.0 NE, TN US","12",",N","9",",N","3",",N","","","","","20100714","+,,N","","","26.7",",,N,14,+","130.2",",,,N","",""
