"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COBO0491","2017-12","40.02958","-105.28524","1654.1","BOULDER 1.8 W, CO US","4",",N","3",",N","0",",N","","","3",",N","","","20171224",",,N","20171224","+,,N","","","89",",,N,24,","6.6",",,N,24,+","19.8",",,,N","229",",,,N"
"US1COBO0491","2018-03","40.02958","-105.28524","1654.1","BOULDER 1.8 W, CO US","5","3,N","4","3,N","0","3,N","","","2","5,N","","","20180327",",5,N","20180319",",3,N","","","71","5,,N,27,","15.5","3,,N,19,","47.0","3,,,N","96","5,,,N"
"US1COBO0491","2018-04","40.02958","-105.28524","1654.1","BOULDER 1.8 W, CO US","6",",N","3",",N","0",",N","","","1","1,N","","","20180407",",1,N","20180407",",,N","","","119","1,,N,07,","12.2",",,N,07,","30.7",",,,N","134","1,,,N"
"US1COBO0491","2018-05","40.02958","-105.28524","1654.1","BOULDER 1.8 W, CO US","","","","","","","","","","","","","","","","","","","","","","","103.8","5,a,,N","",""
"US1COBO0491","2018-06","40.02958","-105.28524","1654.1","BOULDER 1.8 W, CO US","6","2,N","4","2,N","1","2,N","","","","","","","","","20180619",",2,N","","","","","30.2","2,,N,19,","58.2","2,,,N","",""
"US1COBO0491","2018-07","40.02958","-105.28524","1654.1","BOULDER 1.8 W, CO US","9","2,N","2","2,N","0","2,N","","","","","","","","","20180724",",2,N","","","","","24.6","2,,N,24,","44.4","2,,,N","",""
"US1COBO0491","2018-11","40.02958","-105.28524","1654.1","BOULDER 1.8 W, CO US","6",",N","4",",N","0",",N","","","2","3,N","","","20181111",",3,N","20181111",",,N","","","175","3,,N,11,","10.7",",,N,11,","30.3",",,,N","345","3,,,N"
"US1COBO0491","2018-12","40.02958","-105.28524","1654.1","BOULDER 1.8 W, CO US","","","","","","","","","0","5,N","","","20181206",",5,N","","","","","18","5,,N,06,","","","","","18","5,,,N"
"US1COBO0491","2019-02","40.02958","-105.28524","1654.1","BOULDER 1.8 W, CO US","5",",N","2",",N","0",",N","","","2","1,N","","","20190218",",1,N","20190207",",,N","","","64","1,,N,18,","8.1",",,N,07,","13.8",",,,N","148","1,,,N"
"US1COBO0491","2019-03","40.02958","-105.28524","1654.1","BOULDER 1.8 W, CO US","9","5,N","4","5,N","0","5,N","","","","","","","","","20190314",",5,N","","","","","19.6","5,,N,14,","52.1","5,,,N","",""
