"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10gosp004","2005-01","40.3873","-99.973","705.9","ARAPAHOE 6.9 NW, NE US","3",",N","2",",N","0",",N","2",",N","3",",N","20050106",",,N","20050106",",,N","20050105",",,N","89",",,N,06,","51",",,N,06,","9.1",",,N,05,","15.9",",,,N","127",",,,N"
"US10gosp004","2005-02","40.3873","-99.973","705.9","ARAPAHOE 6.9 NW, NE US","4",",N","2",",N","0",",N","0",",N","1",",N","20050228","+,,N","20050207",",,N","20050213",",,N","0",",,N,28,+","84",",,N,07,","5.1",",,N,13,","11.2",",,,N","104",",,,N"
"US10gosp004","2005-04","40.3873","-99.973","705.9","ARAPAHOE 6.9 NW, NE US","8","1,N","3","1,N","0","1,N","","","","","","","","","20050406",",1,N","","","","","16.3","1,,N,06,","31.8","1,,,N","",""
"US10gosp004","2005-05","40.3873","-99.973","705.9","ARAPAHOE 6.9 NW, NE US","8",",N","4",",N","0",",N","","","","","","","","","20050531",",,N","","","","","16.8",",,N,31,","43.9",",,,N","",""
"US10gosp004","2005-06","40.3873","-99.973","705.9","ARAPAHOE 6.9 NW, NE US","9",",N","6",",N","4",",N","","","","","","","","","20050610",",,N","","","","","34.3",",,N,10,","147.8",",,,N","",""
"US10gosp004","2005-07","40.3873","-99.973","705.9","ARAPAHOE 6.9 NW, NE US","3",",N","3",",N","0",",N","","","","","","","","","20050726",",,N","","","","","8.6",",,N,26,","16.5",",,,N","",""
"US10gosp004","2005-08","40.3873","-99.973","705.9","ARAPAHOE 6.9 NW, NE US","9",",N","6",",N","1",",N","","","","","","","","","20050813",",,N","","","","","56.1",",,N,13,","111.8",",,,N","",""
"US10gosp004","2005-09","40.3873","-99.973","705.9","ARAPAHOE 6.9 NW, NE US","2",",N","0",",N","0",",N","","","","","","","","","20050906",",,N","","","","","2.0",",,N,06,","2.5",",,,N","",""
"US10gosp004","2005-10","40.3873","-99.973","705.9","ARAPAHOE 6.9 NW, NE US","5",",N","3",",N","0",",N","","","","","","","","","20051012",",,N","","","","","13.7",",,N,12,","37.6",",,,N","",""
"US10gosp004","2005-11","40.3873","-99.973","705.9","ARAPAHOE 6.9 NW, NE US","2",",N","2",",N","0",",N","","","","","","","","","20051128","+,,N","","","","","3.3",",,N,28,+","6.6",",,,N","",""
