"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"KZ000035715","1968-01","46.9","54.1","18.0","KULSARY, KZ","14","2,I","4","2,I","0","2,I","19680115",",2,I","6.3","2,,I,15,","23.8","2,,,I"
"KZ000035715","1968-02","46.9","54.1","18.0","KULSARY, KZ","2",",I","0",",I","0",",I","19680222",",,I","2.4",",,I,22,","4.8",",,,I"
"KZ000035715","1968-03","46.9","54.1","18.0","KULSARY, KZ","8",",I","0",",I","0",",I","19680302",",,I","2.0",",,I,02,","6.9",",,,I"
"KZ000035715","1968-04","46.9","54.1","18.0","KULSARY, KZ","1",",I","1",",I","0",",I","19680426",",,I","2.5",",,I,26,","2.5",",,,I"
"KZ000035715","1968-05","46.9","54.1","18.0","KULSARY, KZ","1",",I","0",",I","0",",I","19680522",",,I","2.0",",,I,22,","2.0",",,,I"
"KZ000035715","1968-06","46.9","54.1","18.0","KULSARY, KZ","3",",I","0",",I","0",",I","19680630","+,,I","1.2",",,I,30,+","3.1",",,,I"
"KZ000035715","1968-07","46.9","54.1","18.0","KULSARY, KZ","3",",I","1",",I","0",",I","19680712",",,I","16.2",",,I,12,","18.3",",,,I"
"KZ000035715","1968-08","46.9","54.1","18.0","KULSARY, KZ","1","2,I","0","2,I","0","2,I","19680819",",2,I","1.1","2,,I,19,","1.1","2,,,I"
"KZ000035715","1968-09","46.9","54.1","18.0","KULSARY, KZ","3",",I","0",",I","0",",I","19680919",",,I","1.9",",,I,19,","3.6",",,,I"
"KZ000035715","1968-10","46.9","54.1","18.0","KULSARY, KZ","0","3,I","0","3,I","0","3,I","19681031","+,3,I","0.0","3,,I,31,+","0.0","3,,,I"
"KZ000035715","1968-11","46.9","54.1","18.0","KULSARY, KZ","0","3,I","0","3,I","0","3,I","19681130","+,3,I","0.0","3,,I,30,+","0.0","3,,,I"
"KZ000035715","1968-12","46.9","54.1","18.0","KULSARY, KZ","0","4,I","0","4,I","0","4,I","19681231","+,4,I","0.0","4,,I,31,+","0.0","4,,,I"
"KZ000035715","1969-04","46.9","54.1","18.0","KULSARY, KZ","4","1,I","2","1,I","0","1,I","19690407",",1,I","4.4","1,,I,07,","13.0","1,,,I"
"KZ000035715","1969-05","46.9","54.1","18.0","KULSARY, KZ","7","1,I","1","1,I","0","1,I","19690523",",1,I","5.8","1,,I,23,","8.8","1,,,I"
"KZ000035715","1969-06","46.9","54.1","18.0","KULSARY, KZ","1","2,I","0","2,I","0","2,I","19690622",",2,I","0.5","2,,I,22,","0.5","2,,,I"
"KZ000035715","1969-07","46.9","54.1","18.0","KULSARY, KZ","8",",I","2",",I","0",",I","19690707",",,I","10.4",",,I,07,","19.5",",,,I"
"KZ000035715","1969-08","46.9","54.1","18.0","KULSARY, KZ","4",",I","0",",I","0",",I","19690803","+,,I","1.0",",,I,03,+","3.8",",,,I"
"KZ000035715","1969-09","46.9","54.1","18.0","KULSARY, KZ","7",",I","2",",I","0",",I","19690927",",,I","19.0",",,I,27,","23.8",",,,I"
"KZ000035715","1969-10","46.9","54.1","18.0","KULSARY, KZ","13","1,I","4","1,I","0","1,I","19691028",",1,I","17.2","1,,I,28,","38.3","1,,,I"
"KZ000035715","1969-12","46.9","54.1","18.0","KULSARY, KZ","13",",I","4",",I","0",",I","19691225",",,I","11.0",",,I,25,","27.0",",,,I"
"KZ000035715","1970-01","46.9","54.1","18.0","KULSARY, KZ","7","2,I","1","2,I","0","2,I","19700111",",2,I","5.3","2,,I,11,","10.1","2,,,I"
"KZ000035715","1970-02","46.9","54.1","18.0","KULSARY, KZ","3",",I","1",",I","0",",I","19700201",",,I","3.2",",,I,01,","5.6",",,,I"
"KZ000035715","1970-03","46.9","54.1","18.0","KULSARY, KZ","2",",I","0",",I","0",",I","19700320",",,I","0.5",",,I,20,","1.5",",,,I"
"KZ000035715","1970-04","46.9","54.1","18.0","KULSARY, KZ","2",",I","1",",I","0",",I","19700420",",,I","3.0",",,I,20,","4.4",",,,I"
"KZ000035715","1970-05","46.9","54.1","18.0","KULSARY, KZ","5",",I","1",",I","0",",I","19700519",",,I","6.2",",,I,19,","10.8",",,,I"
"KZ000035715","1970-06","46.9","54.1","18.0","KULSARY, KZ","5",",I","1",",I","0",",I","19700621",",,I","4.6",",,I,21,","7.6",",,,I"
"KZ000035715","1970-07","46.9","54.1","18.0","KULSARY, KZ","5",",I","0",",I","0",",I","19700730",",,I","1.5",",,I,30,","3.6",",,,I"
