"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXCLL009","2007-09","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","5","5,N","5","5,N","1","5,N","0","5,N","20070930","+,5,N","20070905",",5,N","0","5,,N,30,+","25.4","5,,N,05,","82.9","2,a,,N","0","5,,,N"
"US1TXCLL009","2007-10","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","8","1,N","6","1,N","3","1,N","0","1,N","20071031","+,1,N","20071004",",1,N","0","1,,N,31,+","32.8","1,,N,04,","122.4","1,,,N","0","1,,,N"
"US1TXCLL009","2007-11","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","3",",N","2",",N","1",",N","0",",N","20071130","+,,N","20071125",",,N","0",",,N,30,+","31.0",",,N,25,","37.9",",,,N","0",",,,N"
"US1TXCLL009","2008-01","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","6","1,N","2","1,N","0","1,N","0","1,N","20080131","+,1,N","20080126","+,1,N","0","1,,N,31,+","2.8","1,,N,26,+","9.7","1,,,N","0","1,,,N"
"US1TXCLL009","2008-02","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","7","3,N","5","3,N","1","3,N","0","3,N","20080229","+,3,N","20080217",",3,N","0","3,,N,29,+","27.7","3,,N,17,","68.3","3,,,N","0","3,,,N"
"US1TXCLL009","2008-04","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","7","4,N","5","4,N","3","4,N","0","4,N","20080430","+,4,N","20080409",",4,N","0","4,,N,30,+","31.2","4,,N,09,","133.6","4,,,N","0","4,,,N"
"US1TXCLL009","2008-07","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","1",",N","1",",N","0",",N","0",",N","20080731","+,,N","20080714",",,N","0",",,N,31,+","16.8",",,N,14,","16.8",",,,N","0",",,,N"
"US1TXCLL009","2008-08","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","7",",N","6",",N","2",",N","0",",N","20080831","+,,N","20080815",",,N","0",",,N,31,+","38.9",",,N,15,","92.4",",,,N","0",",,,N"
"US1TXCLL009","2008-09","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","5",",N","4",",N","1",",N","0",",N","20080930","+,,N","20080914",",,N","0",",,N,30,+","43.7",",,N,14,","66.5",",,,N","0",",,,N"
"US1TXCLL009","2008-10","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","3",",N","3",",N","0",",N","0",",N","20081031","+,,N","20081007",",,N","0",",,N,31,+","13.0",",,N,07,","25.5",",,,N","0",",,,N"
"US1TXCLL009","2009-02","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","4",",N","2",",N","0",",N","0","4,N","20090228","+,4,N","20090211",",,N","0","4,,N,28,+","11.2",",,N,11,","19.1",",,,N","0","4,,,N"
"US1TXCLL009","2009-03","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","8","1,N","6","1,N","1","1,N","","","","","20090312",",1,N","","","71.4","1,,N,12,","147.9","1,,,N","",""
"US1TXCLL009","2009-04","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","4","2,N","4","2,N","0","2,N","","","","","20090418",",2,N","","","20.8","2,,N,18,","59.9","2,,,N","",""
"US1TXCLL009","2009-06","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","3","2,N","3","2,N","1","2,N","0","5,N","20090630","+,5,N","20090611",",2,N","0","5,,N,30,+","40.1","2,,N,11,","81.0",",a,,N","0","5,,,N"
"US1TXCLL009","2009-07","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","2",",N","1",",N","0",",N","0","2,N","20090731","+,2,N","20090709",",,N","0","2,,N,31,+","3.8",",,N,09,","5.3",",,,N","0","2,,,N"
"US1TXCLL009","2009-08","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","1",",N","1",",N","1",",N","0","1,N","20090831","+,1,N","20090821",",,N","0","1,,N,31,+","47.2",",,N,21,","47.2",",,,N","0","1,,,N"
"US1TXCLL009","2009-09","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","5","4,N","5","4,N","0","4,N","","","","","20090914",",4,N","","","15.7","4,,N,14,","196.6",",a,,N","",""
"US1TXCLL009","2009-10","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","19",",N","13",",N","3",",N","","","","","20091009",",,N","","","45.0",",,N,09,","235.9",",,,N","",""
"US1TXCLL009","2015-02","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","10",",N","7",",N","1",",N","","","","","20150223",",,N","","","38.6",",,N,23,","91.5",",,,N","",""
"US1TXCLL009","2015-04","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","","","","","","","","","","","","","","","","","178.6","1,a,,N","",""
"US1TXCLL009","2015-05","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","21",",N","14",",N","6",",N","","","","","20150521",",,N","","","45.2",",,N,21,","300.5",",,,N","",""
"US1TXCLL009","2015-06","33.017054","-96.546337","167.9","WYLIE 2.6 SW, TX US","8",",N","7",",N","3",",N","","","","","20150621",",,N","","","39.4",",,N,21,","170.5",",,,N","",""
