"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INLK0063","2013-04","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","10","4,N","6","4,N","3","4,N","","","","","20130418",",4,N","","","56.6","4,,N,18,","158.4",",a,,N","",""
"US1INLK0063","2013-05","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","11",",N","7",",N","0",",N","","","","","20130510",",,N","","","24.1",",,N,10,","99.0",",,,N","",""
"US1INLK0063","2013-07","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","2",",N","2",",N","0",",N","","","","","20130709",",,N","","","14.5",",,N,09,","17.3",",,,N","",""
"US1INLK0063","2013-08","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","6",",N","4",",N","1",",N","","","","","20130803",",,N","","","33.0",",,N,03,","58.9",",,,N","",""
"US1INLK0063","2013-09","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","6","2,N","6","2,N","1","2,N","","","","","20130919",",2,N","","","58.2","2,,N,19,","98.7",",a,,N","",""
"US1INLK0063","2013-10","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","8","4,N","3","4,N","1","4,N","","","","","20131031",",4,N","","","45.7","4,,N,31,","88.6",",a,,N","",""
"US1INLK0063","2013-11","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","6","4,N","4","4,N","0","4,N","","","","","20131106",",4,N","","","11.2","4,,N,06,","46.8",",a,,N","",""
"US1INLK0063","2013-12","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","13","2,N","4","2,N","0","2,N","4","2,N","20131214",",2,N","20131222","+,2,N","76","2,,N,14,","6.4","2,,N,22,+","32.3",",a,,N","219","2,,,N"
"US1INLK0063","2014-01","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","15","1,N","9","1,N","0","1,N","9","1,N","20140105",",1,N","20140111",",1,N","152","1,,N,05,","21.1","1,,N,11,","77.6","1,,,N","680","1,,,N"
"US1INLK0063","2014-02","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","8","1,N","6","1,N","0","1,N","5","1,N","20140205",",1,N","20140220",",1,N","135","1,,N,05,","18.3","1,,N,20,","52.0","1,,,N","402","1,,,N"
"US1INLK0063","2014-04","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","11","3,N","7","3,N","0","3,N","1","5,N","20140415",",5,N","20140403",",3,N","33","5,,N,15,","19.1","3,,N,03,","67.5",",a,,N","33","5,,,N"
"US1INLK0063","2014-05","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","15",",N","9",",N","2",",N","","","","","20140512",",,N","","","36.6",",,N,12,","156.6",",,,N","",""
"US1INLK0063","2014-06","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","","","","","","","","","","","","","","","","","188.9",",a,,N","",""
"US1INLK0063","2014-07","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","9","3,N","4","3,N","1","3,N","","","","","20140713",",3,N","","","36.6","3,,N,13,","112.8",",a,,N","",""
"US1INLK0063","2014-08","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","","","","","","","","","","","","","","","","","202.9",",a,,N","",""
"US1INLK0063","2014-09","41.6169548034668","-87.2546310424805","186.5","GARY 4.8 ENE, IN US","","","","","","","","","","","","","","","","","55.2",",a,,N","",""
