"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ARLK0002","2009-09","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","12","3,N","5","3,N","1","3,N","","","","","20090916",",3,N","","","92.2","3,,N,16,","115.3","3,,,N","",""
"US1ARLK0002","2009-10","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","20",",N","17",",N","5",",N","","","","","20091030",",,N","","","95.5",",,N,30,","372.4",",,,N","",""
"US1ARLK0002","2009-11","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","3","3,N","2","3,N","0","3,N","","","","","20091130",",3,N","","","14.0","3,,N,30,","18.6","3,,,N","",""
"US1ARLK0002","2010-01","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","8",",N","5",",N","0",",N","","","","","20100117",",,N","","","22.9",",,N,17,","81.6",",,,N","",""
"US1ARLK0002","2010-02","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","7",",N","5",",N","2",",N","","","","","20100209",",,N","","","38.6",",,N,09,","100.4",",,,N","",""
"US1ARLK0002","2010-03","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","7","3,N","7","3,N","0","3,N","","","","","20100321",",3,N","","","19.8","3,,N,21,","67.5","3,,,N","",""
"US1ARLK0002","2010-04","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","5","1,N","4","1,N","1","1,N","","","","","20100424",",1,N","","","34.3","1,,N,24,","76.0","1,,,N","",""
"US1ARLK0002","2010-05","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","10","1,N","8","1,N","2","1,N","","","","","20100501",",1,N","","","53.3","1,,N,01,","151.2","1,,,N","",""
"US1ARLK0002","2010-06","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","4","2,N","4","2,N","1","2,N","","","","","20100604",",2,N","","","37.3","2,,N,04,","54.0","2,,,N","",""
"US1ARLK0002","2010-07","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","8",",N","3",",N","0",",N","","","","","20100712",",,N","","","24.1",",,N,12,","50.7",",,,N","",""
"US1ARLK0002","2010-08","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","5","2,N","5","2,N","2","2,N","","","","","20100811",",2,N","","","65.5","2,,N,11,","109.9","2,,,N","",""
"US1ARLK0002","2010-09","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","5",",N","2",",N","0",",N","0","5,N","20100930","+,5,N","20100909",",,N","0","5,,N,30,+","23.6",",,N,09,","41.9",",,,N","0","5,,,N"
"US1ARLK0002","2010-10","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","4",",N","3",",N","0",",N","0","4,N","20101031","+,4,N","20101020",",,N","0","4,,N,31,+","8.1",",,N,20,","22.1",",,,N","0","4,,,N"
"US1ARLK0002","2010-11","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","10",",N","8",",N","3",",N","","","","","20101130",",,N","","","43.7",",,N,30,","152.5",",,,N","",""
"US1ARLK0002","2010-12","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","5",",N","2",",N","1",",N","0","5,N","20101231","+,5,N","20101230",",,N","0","5,,N,31,+","28.4",",,N,30,","42.8",",,,N","0","5,,,N"
"US1ARLK0002","2011-01","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","4","1,N","2","1,N","0","1,N","1","5,N","20110110",",5,N","20110110",",1,N","114","5,,N,10,","11.4","1,,N,10,","22.6","1,,,N","114","5,,,N"
"US1ARLK0002","2011-02","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","9",",N","7",",N","1",",N","3","5,N","20110210",",5,N","20110202",",,N","165","5,,N,10,","33.8",",,N,02,","102.4",",,,N","272","5,,,N"
"US1ARLK0002","2011-03","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","7","4,N","3","4,N","1","4,N","","","","","20110305",",4,N","","","33.5","4,,N,05,","67.8","4,,,N","",""
"US1ARLK0002","2011-04","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","12",",N","12",",N","2",",N","","","","","20110427",",,N","","","50.5",",,N,27,","214.4",",,,N","",""
"US1ARLK0002","2011-05","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","10",",N","8",",N","4",",N","","","","","20110502",",,N","","","73.2",",,N,02,","272.5",",,,N","",""
"US1ARLK0002","2011-06","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","3","1,N","2","1,N","1","1,N","0","4,N","20110630","+,4,N","20110629",",1,N","0","4,,N,30,+","68.8","1,,N,29,","76.5","1,,,N","0","4,,,N"
"US1ARLK0002","2011-07","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","6",",N","3",",N","1",",N","","","","","20110714",",,N","","","30.2",",,N,14,","54.4",",,,N","",""
"US1ARLK0002","2011-08","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","8",",N","5",",N","3",",N","","","","","20110809",",,N","","","77.5",",,N,09,","178.3",",,,N","",""
"US1ARLK0002","2011-09","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","7","1,N","3","1,N","0","1,N","","","","","20110919",",1,N","","","17.8","1,,N,19,","28.0","1,,,N","",""
"US1ARLK0002","2011-10","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","4","4,N","4","4,N","0","4,N","","","","","20111023",",4,N","","","24.4","4,,N,23,","64.8","4,,,N","",""
"US1ARLK0002","2011-11","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","9","1,N","7","1,N","5","1,N","","","","","20111116",",1,N","","","130.8","1,,N,16,","359.0","1,,,N","",""
"US1ARLK0002","2011-12","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","9","1,N","8","1,N","3","1,N","","","","","20111205",",1,N","","","97.8","1,,N,05,","220.3","1,,,N","",""
"US1ARLK0002","2012-01","34.7696818","-91.9090341","75.0","LONOKE 1.2 SSW, AR US","6",",N","3",",N","0",",N","","","","","20120123",",,N","","","18.8",",,N,23,","42.2",",,,N","",""
