"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSBU0006","2007-10","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","10","1,N","7","1,N","1","1,N","","","0","1,N","","","20071031","+,1,N","20071018",",1,N","","","0","1,,N,31,+","52.6","1,,N,18,","139.8","1,,,N","0","1,,,N"
"US1KSBU0006","2007-11","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","1",",N","0",",N","0",",N","","","0",",N","","","20071124",",,N","20071124",",,N","","","10",",,N,24,","0.5",",,N,24,","0.5",",,,N","10",",,,N"
"US1KSBU0006","2007-12","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","13",",N","4",",N","1",",N","","","3",",N","","","20071223",",,N","20071211",",,N","","","117",",,N,23,","30.2",",,N,11,","65.9",",,,N","183",",,,N"
"US1KSBU0006","2008-01","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","3",",N","3",",N","0",",N","1","4,N","1",",N","20080131",",4,N","20080131",",,N","20080108",",,N","99","4,,N,31,","99",",,N,31,","8.4",",,N,08,","16.6",",,,N","109",",,,N"
"US1KSBU0006","2008-02","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","8",",N","6",",N","0",",N","2","2,N","1",",N","20080201",",2,N","20080201",",,N","20080205",",,N","216","2,,N,01,","114",",,N,01,","19.8",",,N,05,","61.0",",,,N","124",",,,N"
"US1KSBU0006","2008-03","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","5",",N","4",",N","0",",N","0",",N","0",",N","20080331","+,,N","20080331","+,,N","20080318",",,N","0",",,N,31,+","0",",,N,31,+","16.3",",,N,18,","47.8",",,,N","0",",,,N"
"US1KSBU0006","2008-04","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","7",",N","4",",N","2",",N","","","0",",N","","","20080430","+,,N","20080410",",,N","","","0",",,N,30,+","26.9",",,N,10,","77.3",",,,N","0",",,,N"
"US1KSBU0006","2008-05","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","14",",N","11",",N","3",",N","","","0",",N","","","20080531","+,,N","20080527",",,N","","","0",",,N,31,+","38.9",",,N,27,","201.7",",,,N","0",",,,N"
"US1KSBU0006","2008-06","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","18",",N","15",",N","5",",N","","","0",",N","","","20080630","+,,N","20080613",",,N","","","0",",,N,30,+","130.0",",,N,13,","372.0",",,,N","0",",,,N"
"US1KSBU0006","2008-07","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","11",",N","9",",N","0",",N","","","0",",N","","","20080731","+,,N","20080709",",,N","","","0",",,N,31,+","20.3",",,N,09,","68.2",",,,N","0",",,,N"
"US1KSBU0006","2008-08","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","9",",N","5",",N","0",",N","","","0",",N","","","20080831","+,,N","20080810",",,N","","","0",",,N,31,+","15.5",",,N,10,","42.3",",,,N","0",",,,N"
"US1KSBU0006","2008-09","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","10",",N","8",",N","2",",N","","","0",",N","","","20080930","+,,N","20080912",",,N","","","0",",,N,30,+","177.0",",,N,12,","309.2",",,,N","0",",,,N"
"US1KSBU0006","2008-10","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","7",",N","6",",N","1",",N","","","0",",N","","","20081031","+,,N","20081014",",,N","","","0",",,N,31,+","49.0",",,N,14,","111.9",",,,N","0",",,,N"
"US1KSBU0006","2008-11","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","4",",N","2",",N","0",",N","","","0",",N","","","20081129",",,N","20081111",",,N","","","0",",T,N,29,","18.0",",,N,11,","28.2",",,,N","0",",T,,N"
"US1KSBU0006","2008-12","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","6","1,N","1","1,N","0","1,N","","","2","2,N","","","20081210",",2,N","20081227",",1,N","","","38","2,,N,10,","16.8","1,,N,27,","23.2","1,,,N","84","2,,,N"
"US1KSBU0006","2009-01","37.612521","-96.880705","385.0","LEON 7.5 SW, KS US","4",",N","0",",N","0",",N","","","0",",N","","","20090128","+,,N","20090128",",,N","","","0",",T,N,28,+","0.8",",,N,28,","2.1",",,,N","0",",T,,N"
