"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXJO0003","2012-08","32.944496","-99.799623","490.7","STAMFORD 0.2 ESE, TX US","","","","","","","","","","","","","","","","","36.9","3,a,,N","",""
"US1TXJO0003","2012-09","32.944496","-99.799623","490.7","STAMFORD 0.2 ESE, TX US","6","4,N","5","4,N","0","4,N","","","","","20120930",",4,N","","","19.8","4,,N,30,","90.4",",a,,N","",""
"US1TXJO0003","2012-10","32.944496","-99.799623","490.7","STAMFORD 0.2 ESE, TX US","4","1,N","1","1,N","0","1,N","0","5,N","20121031","+,5,N","20121023",",1,N","0","5,,N,31,+","16.5","1,,N,23,","18.6","1,,,N","0","5,,,N"
"US1TXJO0003","2012-11","32.944496","-99.799623","490.7","STAMFORD 0.2 ESE, TX US","0",",N","0",",N","0",",N","0",",N","20121130","+,,N","20121130","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1TXJO0003","2012-12","32.944496","-99.799623","490.7","STAMFORD 0.2 ESE, TX US","","","","","","","","","","","","","","","","","4.2","1,a,,N","",""
"US1TXJO0003","2013-01","32.944496","-99.799623","490.7","STAMFORD 0.2 ESE, TX US","3","2,N","1","2,N","0","2,N","","","","","20130110",",2,N","","","23.9","2,,N,10,","26.2","2,,,N","",""
"US1TXJO0003","2013-02","32.944496","-99.799623","490.7","STAMFORD 0.2 ESE, TX US","6","5,N","3","5,N","0","5,N","","","","","20130220",",5,N","","","11.9","5,,N,20,","24.4","2,a,,N","",""
"US1TXJO0003","2013-05","32.944496","-99.799623","490.7","STAMFORD 0.2 ESE, TX US","9","1,N","2","1,N","0","1,N","","","","","20130524",",1,N","","","6.9","1,,N,24,","15.1","1,,,N","",""
"US1TXJO0003","2013-06","32.944496","-99.799623","490.7","STAMFORD 0.2 ESE, TX US","8","1,N","6","1,N","3","1,N","","","","","20130606",",1,N","","","66.0","1,,N,06,","183.8","1,,,N","",""
"US1TXJO0003","2013-07","32.944496","-99.799623","490.7","STAMFORD 0.2 ESE, TX US","5","2,N","4","2,N","1","2,N","","","","","20130716",",2,N","","","46.0","2,,N,16,","89.0","2,,,N","",""
"US1TXJO0003","2013-12","32.944496","-99.799623","490.7","STAMFORD 0.2 ESE, TX US","4","4,N","2","4,N","0","4,N","","","","","20131221",",4,N","","","18.3","4,,N,21,","25.2","4,,,N","",""
