"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLVL0099","2020-09","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","14","4,N","12","4,N","2","4,N","","","","","20200930",",4,N","","","38.1","4,,N,30,","312.2",",a,,N","",""
"US1FLVL0099","2020-10","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","11",",N","8",",N","1",",N","","","","","20201004",",,N","","","32.0",",,N,04,","87.9",",,,N","",""
"US1FLVL0099","2020-11","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","10",",N","5",",N","2",",N","","","","","20201102",",,N","","","44.5",",,N,02,","124.0",",,,N","",""
"US1FLVL0099","2020-12","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","7","3,N","5","3,N","0","3,N","","","","","20201217",",3,N","","","8.4","3,,N,17,","30.0","3,,,N","",""
"US1FLVL0099","2021-02","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","9","4,N","6","4,N","0","4,N","","","","","20210220","+,4,N","","","13.7","4,,N,20,+","65.3","4,,,N","",""
"US1FLVL0099","2021-03","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","6","2,N","4","2,N","0","2,N","","","","","20210321",",2,N","","","11.4","2,,N,21,","25.6","2,,,N","",""
"US1FLVL0099","2021-04","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","9","5,N","8","5,N","3","5,N","","","","","20210412",",5,N","","","56.1","5,,N,12,","167.6","5,,,N","",""
"US1FLVL0099","2021-05","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","9","2,N","5","2,N","0","2,N","","","","","20210513",",2,N","","","21.3","2,,N,13,","74.7","2,,,N","",""
"US1FLVL0099","2021-07","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","17","2,N","12","2,N","5","2,N","","","","","20210705",",2,N","","","49.0","2,,N,05,","275.5","2,,,N","",""
"US1FLVL0099","2021-08","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","13","2,N","9","2,N","3","2,N","","","","","20210803",",2,N","","","56.6","2,,N,03,","226.7",",a,,N","",""
"US1FLVL0099","2021-09","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","11",",N","6",",N","3",",N","","","","","20210909",",,N","","","39.1",",,N,09,","137.9",",,,N","",""
"US1FLVL0099","2021-10","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","8","2,N","4","2,N","0","2,N","","","","","20211029",",2,N","","","15.7","2,,N,29,","56.4","2,,,N","",""
"US1FLVL0099","2021-11","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","5","1,N","1","1,N","1","1,N","","","","","20211106",",1,N","","","67.6","1,,N,06,","69.9","1,,,N","",""
"US1FLVL0099","2021-12","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","7","2,N","4","2,N","1","2,N","","","","","20211221",",2,N","","","68.6","2,,N,21,","105.9","2,,,N","",""
"US1FLVL0099","2022-01","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","7","1,N","3","1,N","0","1,N","","","","","20220117",",1,N","","","11.2","1,,N,17,","23.0","1,,,N","",""
"US1FLVL0099","2022-02","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","7","3,N","3","3,N","1","3,N","","","","","20220206",",3,N","","","29.0","3,,N,06,","45.1","3,,,N","",""
"US1FLVL0099","2022-03","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","8","1,N","6","1,N","3","1,N","","","","","20220308",",1,N","","","35.3","1,,N,08,","147.3","1,,,N","",""
"US1FLVL0099","2022-04","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","8","4,N","7","4,N","2","4,N","","","","","20220401",",4,N","","","41.9","4,,N,01,","99.1","4,,,N","",""
"US1FLVL0099","2022-06","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","9",",N","4",",N","0",",N","","","","","20220612",",,N","","","13.2",",,N,12,","35.1",",,,N","",""
"US1FLVL0099","2022-07","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","13",",N","10",",N","1",",N","","","","","20220710",",,N","","","33.8",",,N,10,","99.3",",,,N","",""
"US1FLVL0099","2022-08","29.30626","-81.0645","1.2","ORMOND BEACH 2.0 ENE, FL US","13",",N","9",",N","0",",N","","","","","20220824",",,N","","","20.6",",,N,24,","71.4",",,,N","",""
