"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"JA000047945","1961-01","25.933","131.317","24.0","KITADAITO, JA","11.6","G","11.6","2,G","15",",I","3",",I","0",",I","0","1,G","0","1,G","0","1,G","10","1,G","0","1,G","19610122",",1,G","19610105",",,I","19610110",",1,G","5.4","1,G,22,","19.0",",,I,05,","24.9","1,G,10,","","","57.8","1,G","46.0",",,,I","16.78","2,G","20.13","1,,,G","13.42","1,,,G"
"JA000047945","1961-02","25.933","131.317","24.0","KITADAITO, JA","22.2","G","10.6",",G","10",",I","8",",I","1",",I","0",",G","0",",G","0",",G","8",",G","0",",G","19610204",",,G","19610216",",,I","19610211",",,G","6.8",",G,04,","42.0",",,I,16,","24.6",",G,11,","","","49.6",",G","129.0",",,,I","16.94",",G","19.46",",,,G","14.41",",,,G"
"JA000047945","1961-03","25.933","131.317","24.0","KITADAITO, JA","73.4","G","51.2",",G","12",",I","7",",I","3",",I","0",",G","0",",G","0",",G","23",",G","0",",G","19610311","+,,G","19610324",",,I","19610319","+,,G","13.3",",G,11,+","39.0",",,I,24,","25.2",",G,19,+","","","6.0",",G","112.0",",,,I","19.79",",G","22.50",",,,G","17.08",",,,G"
"JA000047945","1961-04","25.933","131.317","24.0","KITADAITO, JA","166.4","G","93.0",",G","8",",I","5",",I","0",",I","0",",G","0",",G","0",",G","30",",G","0",",G","19610402",",,G","19610422",",,I","19610405",",,G","9.7",",G,02,","20.0",",,I,22,","26.3",",G,05,","","","2.9",",G","61.0",",,,I","21.34",",G","24.33",",,,G","18.34",",,,G"
"JA000047945","1961-05","25.933","131.317","24.0","KITADAITO, JA","395.2","G","228.8",",G","17",",I","8",",I","0",",I","0",",G","0",",G","0",",G","31",",G","0",",G","19610506",",,G","19610531",",,I","19610527",",,G","14.3",",G,06,","14.0",",,I,31,","31.0",",G,27,","","","0.0",",G","68.0",",,,I","25.71",",G","28.46",",,,G","22.96",",,,G"
"JA000047945","1961-06","25.933","131.317","24.0","KITADAITO, JA","678.5","G","283.3",",G","16",",I","9",",I","2",",I","0",",G","0",",G","0",",G","30",",G","0",",G","19610624",",,G","19610615",",,I","19610628","+,,G","21.5",",G,24,","35.0",",,I,15,","32.0",",G,28,+","","","0.0",",G","155.0",",,,I","27.78",",G","30.56",",,,G","24.99",",,,G"
"JA000047945","1961-07","25.933","131.317","24.0","KITADAITO, JA","973.7","G","295.2",",G","23",",I","15",",I","7",",I","0",",G","0",",G","0",",G","31",",G","0",",G","19610724",",,G","19610729",",,I","19610714",",,G","23.6",",G,24,","103.0",",,I,29,","32.1",",G,14,","0.0","","0.0",",G","447.0",",,,I","27.86",",G","30.33",",,,G","25.39",",,,G"
"JA000047945","1961-08","25.933","131.317","24.0","KITADAITO, JA","1288.8","G","315.1",",G","15",",I","4",",I","0",",I","0",",G","0",",G","0",",G","31",",G","3",",G","19610808",",,G","19610823",",,I","19610830",",,G","22.9",",G,08,","7.0",",,I,23,","32.6",",G,30,","0.0","","0.0",",G","28.0",",,,I","28.50",",G","31.37",",,,G","25.63",",,,G"
"JA000047945","1961-09","25.933","131.317","24.0","KITADAITO, JA","1566.9","G","278.1",",G","13",",I","9",",I","4",",I","0",",G","0",",G","0",",G","30",",G","3",",G","19610918",",,G","19610914",",,I","19610901",",,G","19.6",",G,18,","68.0",",,I,14,","33.0",",G,01,","0.0","","0.0",",G","236.0",",,,I","27.60",",G","30.53",",,,G","24.68",",,,G"
"JA000047945","1961-10","25.933","131.317","24.0","KITADAITO, JA","1795.6","G","228.7",",G","14",",I","8",",I","1",",I","0",",G","0",",G","0",",G","31",",G","0",",G","19611031","+,,G","19611001",",,I","19611022",",,G","20.5",",G,31,+","132.0",",,I,01,","29.8",",G,22,","0.0","","0.0",",G","199.0",",,,I","25.71",",G","28.36",",,,G","23.06",",,,G"
"JA000047945","1961-11","25.933","131.317","24.0","KITADAITO, JA","1930.0","G","134.4",",G","9",",I","5",",I","0",",I","0",",G","0",",G","0",",G","30",",G","0",",G","19611126",",,G","19611104",",,I","19611102",",,G","12.2",",G,26,","9.0",",,I,04,","28.7",",G,02,","0.2","","0.2",",G","37.0",",,,I","22.81",",G","26.02",",,,G","19.59",",,,G"
"JA000047945","1961-12","25.933","131.317","24.0","KITADAITO, JA","1981.8","G","51.8",",G","13",",I","7",",I","1",",I","0",",G","0",",G","0",",G","23",",G","0",",G","19611224",",,G","19611219",",,I","19611217",",,G","10.0",",G,24,","68.0",",,I,19,","25.7",",G,17,","14.2","","14.0",",G","152.0",",,,I","19.55",",G","21.91",",,,G","17.20",",,,G"
"JA000047945","1962-01","25.933","131.317","24.0","KITADAITO, JA","4.3","G","4.3",",G","15",",I","6",",I","1",",I","0",",G","0",",G","0",",G","4",",G","0",",G","19620118",",,G","19620107",",,I","19620113",",,G","7.8",",G,18,","70.0",",,I,07,","23.1",",G,13,","92.3","G","78.1",",G","122.0",",,,I","15.95",",G","18.60",",,,G","13.30",",,,G"
"JA000047945","1962-02","25.933","131.317","24.0","KITADAITO, JA","17.9","G","13.6",",G","7",",I","1",",I","0",",I","0",",G","0",",G","0",",G","9",",G","0",",G","19620222",",,G","19620212",",,I","19620211",",,G","4.3",",G,22,","3.0",",,I,12,","24.9",",G,11,","158.4","G","66.1",",G","14.0",",,,I","16.46",",G","20.16",",,,G","12.76",",,,G"
"JA000047945","1962-03","25.933","131.317","24.0","KITADAITO, JA","39.3","G","21.4",",G","14",",I","10",",I","2",",I","0",",G","0",",G","0",",G","17",",G","0",",G","19620328",",,G","19620329",",,I","19620310",",,G","9.3",",G,28,","41.0",",,I,29,","23.4",",G,10,","193.7","G","35.3",",G","147.0",",,,I","17.89",",G","20.55",",,,G","15.22",",,,G"
"JA000047945","1962-04","25.933","131.317","24.0","KITADAITO, JA","90.9","G","51.6","2,G","5",",I","3",",I","1",",I","0","1,G","0","1,G","0","1,G","28","1,G","0","1,G","19620427","+,1,G","19620430",",,I","19620430",",1,G","12.4","1,G,27,+","125.0",",,I,30,","25.5","1,G,30,","195.7","G","2.0","1,G","144.0",",,,I","20.02","2,G","23.30","1,,,G","16.75","1,,,G"
"JA000047945","1962-05","25.933","131.317","24.0","KITADAITO, JA","304.8","G","213.9",",G","13",",I","12",",I","3",",I","0",",G","0",",G","0",",G","31",",G","0",",G","19620503","+,,G","19620519",",,I","19620516",",,G","17.0",",G,03,+","162.0",",,I,19,","29.8",",G,16,","195.7","G","0.0",",G","317.0",",,,I","25.23",",G","27.37",",,,G","23.09",",,,G"
"JA000047945","1962-06","25.933","131.317","24.0","KITADAITO, JA","557.1","G","252.3",",G","16",",I","10",",I","2",",I","0",",G","0",",G","0",",G","30",",G","0",",G","19620603",",,G","19620618",",,I","19620617",",,G","18.6",",G,03,","43.0",",,I,18,","30.9",",G,17,","195.7","G","0.0",",G","148.0",",,,I","26.74",",G","29.19",",,,G","24.30",",,,G"
"JA000047945","1962-07","25.933","131.317","24.0","KITADAITO, JA","874.9","G","317.8",",G","14",",I","8",",I","1",",I","0",",G","0",",G","0",",G","31",",G","2",",G","19620714",",,G","19620731",",,I","19620729","+,,G","21.4",",G,14,","26.0",",,I,31,","32.8",",G,29,+","0.0","G","0.0",",G","72.0",",,,I","28.58",",G","31.16",",,,G","26.01",",,,G"
"JA000047945","1962-08","25.933","131.317","24.0","KITADAITO, JA","1184.4","G","309.5",",G","10",",I","7",",I","0",",I","0",",G","0",",G","0",",G","31",",G","4",",G","19620823",",,G","19620816",",,I","19620828",",,G","22.2",",G,23,","21.0",",,I,16,","32.7",",G,28,","0.0","G","0.0",",G","58.0",",,,I","28.32",",G","31.38",",,,G","25.25",",,,G"
"JA000047945","1962-09","25.933","131.317","24.0","KITADAITO, JA","1466.6","G","282.2",",G","13",",I","7",",I","1",",I","0",",G","0",",G","0",",G","30",",G","3",",G","19620926",",,G","19620913",",,I","19620906","+,,G","21.3",",G,26,","75.0",",,I,13,","32.3",",G,06,+","0.0","G","0.0",",G","130.0",",,,I","27.74",",G","31.31",",,,G","24.17",",,,G"
