"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA1ON000782","2020-08","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","11",",N","11",",N","0",",N","","","","","20200827",",,N","","","23.1",",,N,27,","99.5",",,,N","",""
"CA1ON000782","2020-09","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","6","2,N","4","2,N","1","2,N","","","","","20200930",",2,N","","","30.5","2,,N,30,","55.6","2,,,N","",""
"CA1ON000782","2020-10","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","16","1,N","9","1,N","0","1,N","","","","","20201020",",1,N","","","14.2","1,,N,20,","79.5","1,,,N","",""
"CA1ON000782","2020-11","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","7","1,N","6","1,N","0","1,N","","","","","20201123",",1,N","","","23.1","1,,N,23,","50.1","1,,,N","",""
"CA1ON000782","2020-12","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","14","1,N","13","1,N","0","1,N","","","","","20201225",",1,N","","","21.1","1,,N,25,","100.8","1,,,N","",""
"CA1ON000782","2021-01","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","5",",N","4",",N","0",",N","","","","","20210102",",,N","","","11.9",",,N,02,","32.7",",,,N","",""
"CA1ON000782","2021-02","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","9",",N","7",",N","0",",N","","","","","20210227",",,N","","","8.9",",,N,27,","34.4",",,,N","",""
"CA1ON000782","2021-03","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","4",",N","4",",N","0",",N","","","","","20210326",",,N","","","12.2",",,N,26,","37.8",",,,N","",""
"CA1ON000782","2021-04","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","10",",N","8",",N","0",",N","","","","","20210430",",,N","","","10.9",",,N,30,","58.0",",,,N","",""
"CA1ON000782","2021-05","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","6","1,N","3","1,N","0","1,N","","","","","20210503",",1,N","","","7.1","1,,N,03,","19.9","1,,,N","",""
"CA1ON000782","2021-06","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","8","1,N","7","1,N","0","1,N","","","","","20210603",",1,N","","","16.8","1,,N,03,","52.5","1,,,N","",""
"CA1ON000782","2021-07","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","11",",N","7",",N","1",",N","","","","","20210709",",,N","","","30.7",",,N,09,","108.7",",,,N","",""
"CA1ON000782","2021-08","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","3",",N","3",",N","0",",N","0","4,N","20210831","+,4,N","20210811",",,N","0","4,,N,31,+","23.1",",,N,11,","34.7",",,,N","0","4,,,N"
"CA1ON000782","2021-09","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","9",",N","8",",N","2",",N","","","","","20210923",",,N","","","50.0",",,N,23,","159.2",",,,N","",""
"CA1ON000782","2021-10","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","12",",N","10",",N","0",",N","","","","","20211030",",,N","","","23.9",",,N,30,","94.2",",,,N","",""
"CA1ON000782","2021-11","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","10","1,N","7","1,N","0","1,N","","","","","20211115",",1,N","","","13.5","1,,N,15,","50.0","1,,,N","",""
"CA1ON000782","2021-12","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","12","1,N","9","1,N","0","1,N","","","","","20211206",",1,N","","","15.2","1,,N,06,","67.1","1,,,N","",""
"CA1ON000782","2022-01","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","5","1,N","5","1,N","1","1,N","","","","","20220117",",1,N","","","35.3","1,,N,17,","63.5","1,,,N","",""
"CA1ON000782","2022-02","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","8","1,N","8","1,N","1","1,N","","","","","20220218",",1,N","","","26.7","1,,N,18,","88.0","1,,,N","",""
"CA1ON000782","2022-03","43.986257","-77.539213","584.6","CONSECON 1.9 SW QUINTE CONSERVATION, ON CA","10",",N","7",",N","0",",N","","","","","20220324",",,N","","","10.9",",,N,24,","49.5",",,,N","",""
