"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1VAHMC007","2008-10","37.060628","-76.441077","6.7","HAMPTON 8.1 W, VA US","5","4,N","3","4,N","0","4,N","0","4,N","20081031","+,4,N","20081028",",4,N","0","4,,N,31,+","13.5","4,,N,28,","29.5","4,,,N","0","4,,,N"
"US1VAHMC007","2008-11","37.060628","-76.441077","6.7","HAMPTON 8.1 W, VA US","9","4,N","7","4,N","0","4,N","0","2,N","20081130","+,2,N","20081114",",4,N","0","2,,N,30,+","14.2","4,,N,14,","76.3","4,,,N","0","2,,,N"
"US1VAHMC007","2008-12","37.060628","-76.441077","6.7","HAMPTON 8.1 W, VA US","13","2,N","5","2,N","1","2,N","","","","","20081212",",2,N","","","34.3","2,,N,12,","105.7",",a,,N","",""
"US1VAHMC007","2009-01","37.060628","-76.441077","6.7","HAMPTON 8.1 W, VA US","9","1,N","7","1,N","0","1,N","","","","","20090107",",1,N","","","11.9","1,,N,07,","44.4","1,,,N","",""
"US1VAHMC007","2009-02","37.060628","-76.441077","6.7","HAMPTON 8.1 W, VA US","3",",N","2",",N","0",",N","0","5,N","20090228","+,5,N","20090219",",,N","0","5,,N,28,+","5.6",",,N,19,","9.4",",,,N","0","5,,,N"
"US1VAHMC007","2009-04","37.060628","-76.441077","6.7","HAMPTON 8.1 W, VA US","10",",N","5",",N","0",",N","","","","","20090407",",,N","","","24.6",",,N,07,","65.6",",,,N","",""
"US1VAHMC007","2009-05","37.060628","-76.441077","6.7","HAMPTON 8.1 W, VA US","17",",N","11",",N","1",",N","","","","","20090518",",,N","","","44.5",",,N,18,","144.9",",,,N","",""
"US1VAHMC007","2009-06","37.060628","-76.441077","6.7","HAMPTON 8.1 W, VA US","11",",N","3",",N","1",",N","","","","","20090606",",,N","","","41.7",",,N,06,","88.6",",,,N","",""
"US1VAHMC007","2009-07","37.060628","-76.441077","6.7","HAMPTON 8.1 W, VA US","8","1,N","5","1,N","2","1,N","","","","","20090714",",1,N","","","26.4","1,,N,14,","73.2","1,,,N","",""
"US1VAHMC007","2009-08","37.060628","-76.441077","6.7","HAMPTON 8.1 W, VA US","15","2,N","11","2,N","2","2,N","","","","","20090809",",2,N","","","48.0","2,,N,09,","179.1",",a,,N","",""
