"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00014318","1979-10","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","68.1",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","31",",m","0",",m","19791031",",,m","19791031","+,,m","19791025",",,m","3.9",",m,31,","0.0",",,m,31,+","31.7",",m,25,","","","2.4",",m","0.0",",,,m","20.45",",m","29.01",",,,m","11.89",",,,m"
"MXN00014318","1979-11","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","27.4",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","29",",m","0",",m","19791129","+,,m","19791130","+,,m","19791109",",,m","10.0",",m,29,+","0.0",",,m,30,+","30.0",",m,09,","","","3.0",",m","0.0",",,,m","19.15",",m","26.60",",,,m","11.69",",,,m"
"MXN00014318","1979-12","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","0.0",",m","2",",m","1",",m","0",",m","0",",m","0",",m","0",",m","25",",m","0",",m","19791225","+,,m","19791202",",,m","19791205",",,m","6.7",",m,25,+","22.9",",,m,02,","25.6",",m,05,","","","71.6",",m","23.7",",,,m","16.02",",m","22.40",",,,m","9.65",",,,m"
"MXN00014318","1980-03","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","0.3",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","30",",m","0",",m","19800301",",,m","19800331","+,,m","19800310",",,m","3.3",",m,01,","0.0",",,m,31,+","26.7",",m,10,","","","66.6",",m","0.0",",,,m","16.20",",m","23.65",",,,m","8.75",",,,m"
"MXN00014318","1980-04","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","71.5",",m","1",",m","1",",m","0",",m","0",",m","0",",m","0",",m","30",",m","1",",m","19800414",",,m","19800430",",,m","19800404",",,m","7.8",",m,14,","23.9",",,m,30,","32.8",",m,04,","","","0.3",",m","23.9",",,,m","20.71",",m","29.39",",,,m","12.02",",,,m"
"MXN00014318","1980-05","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","57.4",",m","1",",m","1",",m","0",",m","0",",m","0",",m","0",",m","31",",m","2",",m","19800520",",,m","19800531",",,m","19800531",",,m","10.0",",m,20,","20.8",",,m,31,","32.8",",m,31,","","","0.3",",m","20.8",",,,m","20.18",",m","28.16",",,,m","12.19",",,,m"
"MXN00014318","1980-06","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","73.9",",m","1",",m","1",",m","0",",m","0",",m","0",",m","0",",m","30",",m","1",",m","19800627",",,m","19800607",",,m","19800603",",,m","10.0",",m,27,","18.8",",,m,07,","32.2",",m,03,","","","0.0",",m","18.8",",,,m","20.80",",m","29.41",",,,m","12.18",",,,m"
"MXN00014318","1980-07","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","37.9",",m","3",",m","2",",m","0",",m","0",",m","0",",m","0",",m","31",",m","0",",m","19800727",",,m","19800731",",,m","19800719",",,m","10.0",",m,27,","20.8",",,m,31,","29.4",",m,19,","0.0","m","0.0",",m","27.1",",,,m","19.56",",m","27.22",",,,m","11.89",",,,m"
"MXN00014318","1980-10","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","","","10",",m","10",",m","0",",m","","","","","","","","","","","","","19801028",",,m","","","","","18.8",",,m,28,","","","","","","","109.7",",,,m","","","","","",""
"MXN00014318","1980-11","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","28.2",",m","12",",m","12",",m","1",",m","0",",m","0",",m","0",",m","30",",m","0",",m","19801128","+,,m","19801123",",,m","19801114",",,m","5.6",",m,28,+","32.8",",,m,23,","31.7",",m,14,","","","16.9",",m","101.3",",,,m","18.71",",m","28.21",",,,m","9.21",",,,m"
