"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COOR0021","2019-04","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","5","5,N","2","5,N","0","5,N","","","","","20190430",",5,N","","","15.0","5,,N,30,","28.8",",a,,N","",""
"US1COOR0021","2019-05","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","","","","","","","","","","","","","","","","","82.4",",a,,N","",""
"US1COOR0021","2019-06","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","7","3,N","1","3,N","0","3,N","","","","","20190619",",3,N","","","4.1","3,,N,19,","9.3","1,a,,N","",""
"US1COOR0021","2019-07","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","9","4,N","4","4,N","0","4,N","","","","","20190731",",4,N","","","11.2","4,,N,31,","33.5","1,a,,N","",""
"US1COOR0021","2019-08","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","5",",N","3",",N","1",",N","","","","","20190802",",,N","","","37.6",",,N,02,","45.7",",,,N","",""
"US1COOR0021","2019-09","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","3","3,N","0","3,N","0","3,N","","","","","20190907",",3,N","","","1.3","3,,N,07,","2.6","3,,,N","",""
"US1COOR0021","2019-11","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","5","4,N","4","4,N","0","4,N","","","","","20191123",",4,N","","","14.0","4,,N,23,","42.3","1,a,,N","",""
"US1COOR0021","2020-04","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","8",",N","2",",N","0",",N","","","","","20200422",",,N","","","6.4",",,N,22,","16.4",",,,N","",""
"US1COOR0021","2020-05","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","2",",N","1",",N","0",",N","0","3,N","20200531","+,3,N","20200512",",,N","0","3,,N,31,+","5.6",",,N,12,","5.9",",,,N","0","3,,,N"
"US1COOR0021","2020-06","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","5",",N","1",",N","0",",N","","","","","20200609",",,N","","","3.0",",,N,09,","6.4",",,,N","",""
"US1COOR0021","2020-07","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","12","5,N","6","5,N","0","5,N","","","","","20200725",",5,N","","","10.7","5,,N,25,","53.9",",a,,N","",""
"US1COOR0021","2020-08","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","3",",N","1",",N","0",",N","","","","","20200830",",,N","","","5.3",",,N,30,","5.9",",,,N","",""
"US1COOR0021","2020-09","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","4",",N","4",",N","0",",N","","","","","20200901",",,N","","","11.2",",,N,01,","27.0",",,,N","",""
"US1COOR0021","2020-10","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","1",",N","1",",N","0",",N","1","1,N","20201026",",1,N","20201026",",,N","191","1,,N,26,","14.5",",,N,26,","14.5",",,,N","194","1,,,N"
"US1COOR0021","2020-11","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","3","4,N","3","4,N","0","4,N","2","3,N","20201124",",3,N","20201124",",4,N","152","3,,N,24,","14.2","4,,N,24,","26.4","4,,,N","244","3,,,N"
"US1COOR0021","2021-05","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","6","1,N","3","1,N","0","1,N","","","","","20210511",",1,N","","","6.6","1,,N,11,","17.3","1,,,N","",""
"US1COOR0021","2021-06","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","8",",N","3",",N","0",",N","","","","","20210625",",,N","","","7.9",",,N,25,","25.1",",,,N","",""
"US1COOR0021","2021-07","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","16","1,N","7","1,N","0","1,N","","","","","20210722",",1,N","","","21.3","1,,N,22,","77.4","1,,,N","",""
"US1COOR0021","2021-10","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","11","4,N","5","4,N","0","4,N","","","","","20211002",",4,N","","","18.0","4,,N,02,","48.3","4,,,N","",""
"US1COOR0021","2022-07","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","18","3,N","10","3,N","0","3,N","","","","","20220702",",3,N","","","24.6","3,,N,02,","117.0",",a,,N","",""
"US1COOR0021","2022-08","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","15","3,N","8","3,N","0","3,N","","","","","20220822",",3,N","","","15.5","3,,N,22,","74.0",",a,,N","",""
"US1COOR0021","2023-10","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","5","5,N","3","5,N","0","5,N","","","","","20231029",",5,N","","","13.5","5,,N,29,","23.9","5,,,N","",""
"US1COOR0021","2024-06","38.1667","-107.8261","2287.5","RIDGWAY 4.1 W, CO US","10","5,N","6","5,N","1","5,N","","","","","20240628",",5,N","","","27.2","5,,N,28,","84.3","5,,,N","",""
