"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXTV0329","2018-07","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","2",",N","2",",N","1",",N","","","","","20180710",",,N","","","43.7",",,N,10,","62.2",",,,N","",""
"US1TXTV0329","2018-08","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","4",",N","2",",N","0",",N","","","","","20180812",",,N","","","11.2",",,N,12,","18.4",",,,N","",""
"US1TXTV0329","2018-09","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","14","4,N","7","4,N","1","4,N","","","","","20180912",",4,N","","","47.2","4,,N,12,","106.4","4,,,N","",""
"US1TXTV0329","2018-11","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","9",",N","5",",N","0",",N","","","","","20181104",",,N","","","17.8",",,N,04,","54.8",",,,N","",""
"US1TXTV0329","2018-12","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","","","","","","","","","","","","","","","","","192.4","3,a,,N","",""
"US1TXTV0329","2019-01","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","11","4,N","4","4,N","1","4,N","","","","","20190103",",4,N","","","45.2","4,,N,03,","81.9","2,a,,N","",""
"US1TXTV0329","2019-02","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","13","1,N","3","1,N","0","1,N","","","","","20190211",",1,N","","","3.8","1,,N,11,","19.7","1,,,N","",""
"US1TXTV0329","2019-03","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","5","2,N","1","2,N","0","2,N","","","","","20190314",",2,N","","","20.8","2,,N,14,","25.1","2,,,N","",""
"US1TXTV0329","2019-04","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","8","1,N","4","1,N","3","1,N","","","","","20190425",",1,N","","","47.0","1,,N,25,","146.4","1,,,N","",""
"US1TXTV0329","2019-05","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","12","1,N","6","1,N","3","1,N","","","","","20190504",",1,N","","","144.8","1,,N,04,","228.7","1,,,N","",""
"US1TXTV0329","2019-07","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","3","2,N","1","2,N","0","2,N","","","","","20190709",",2,N","","","5.1","2,,N,09,","6.4","2,,,N","",""
"US1TXTV0329","2019-08","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","3","5,N","1","5,N","0","5,N","","","","","20190815",",5,N","","","10.9","5,,N,15,","13.5","5,,,N","",""
"US1TXTV0329","2019-09","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","4","5,N","3","5,N","0","5,N","","","","","20190920",",5,N","","","6.6","5,,N,20,","30.5","2,a,,N","",""
"US1TXTV0329","2019-11","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","","","","","","","","","","","","","","","","","19.3","3,a,,N","",""
"US1TXTV0329","2020-01","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","9","2,N","6","2,N","0","2,N","","","","","20200123",",2,N","","","16.5","2,,N,23,","56.9","2,,,N","",""
"US1TXTV0329","2020-03","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","","","","","","","","","","","","","","","","","75.4","5,a,,N","",""
"US1TXTV0329","2020-04","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","7","5,N","4","5,N","1","5,N","","","","","20200404",",5,N","","","25.7","5,,N,04,","52.2","5,,,N","",""
"US1TXTV0329","2020-05","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","7","1,N","4","1,N","2","1,N","","","","","20200513",",1,N","","","63.5","1,,N,13,","118.7","1,,,N","",""
"US1TXTV0329","2020-06","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","5","4,N","4","4,N","1","4,N","","","","","20200624",",4,N","","","35.8","4,,N,24,","66.3","4,,,N","",""
"US1TXTV0329","2020-07","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","","","","","","","","","","","","","","","","","18.0","2,a,,N","",""
"US1TXTV0329","2020-08","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","4",",N","2",",N","1",",N","","","","","20200823",",,N","","","37.8",",,N,23,","41.4",",,,N","",""
"US1TXTV0329","2020-09","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","","","","","","","","","","","","","","","","","62.0","2,a,,N","",""
"US1TXTV0329","2020-10","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","4",",N","1",",N","0",",N","","","","","20201028",",,N","","","4.3",",,N,28,","6.9",",,,N","",""
"US1TXTV0329","2020-11","30.34974","-97.43573","150.6","ELGIN 3.8 W, TX US","5",",N","1",",N","0",",N","","","","","20201129",",,N","","","16.3",",,N,29,","18.7",",,,N","",""
