"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ILCK0229","2017-04","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","12","5,N","10","5,N","2","5,N","","","","","20170430",",5,N","","","37.8","5,,N,30,","120.6","5,,,N","",""
"US1ILCK0229","2017-05","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","16",",N","11",",N","1",",N","","","","","20170501",",,N","","","28.7",",,N,01,","112.0",",,,N","",""
"US1ILCK0229","2017-06","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","15",",N","7",",N","0",",N","","","","","20170623",",,N","","","12.7",",,N,23,","49.1",",,,N","",""
"US1ILCK0229","2017-07","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","10",",N","9",",N","3",",N","","","","","20170722",",,N","","","49.0",",,N,22,","164.8",",,,N","",""
"US1ILCK0229","2017-08","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","7",",N","2",",N","0",",N","","","","","20170822",",,N","","","25.1",",,N,22,","41.1",",,,N","",""
"US1ILCK0229","2017-09","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","3",",N","3",",N","0",",N","0","3,N","20170930","+,3,N","20170919",",,N","0","3,,N,30,+","12.4",",,N,19,","20.0",",,,N","0","3,,,N"
"US1ILCK0229","2017-10","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","12",",N","9",",N","3",",N","","","","","20171015",",,N","","","77.0",",,N,15,","196.5",",,,N","",""
"US1ILCK0229","2017-11","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","9",",N","7",",N","0",",N","","","","","20171118",",,N","","","18.8",",,N,18,","76.7",",,,N","",""
"US1ILCK0229","2018-05","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","11",",N","9",",N","0",",N","","","","","20180503",",,N","","","18.5",",,N,03,","69.0",",,,N","",""
"US1ILCK0229","2018-06","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","13","1,N","11","1,N","1","1,N","","","","","20180622",",1,N","","","54.1","1,,N,22,","141.5","1,,,N","",""
"US1ILCK0229","2018-07","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","7","1,N","7","1,N","1","1,N","","","","","20180705",",1,N","","","30.2","1,,N,05,","106.5","1,,,N","",""
"US1ILCK0229","2018-08","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","11","1,N","6","1,N","2","1,N","","","","","20180821",",1,N","","","50.5","1,,N,21,","126.3","1,,,N","",""
"US1ILCK0229","2018-09","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","10",",N","8",",N","1",",N","","","","","20180904",",,N","","","34.5",",,N,04,","117.5",",,,N","",""
"US1ILCK0229","2018-10","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","12","2,N","8","2,N","0","2,N","","","","","20181011",",2,N","","","24.1","2,,N,11,","101.6","2,,,N","",""
"US1ILCK0229","2019-04","41.5318909","-87.664093","202.1","FLOSSMOOR 1.2 ESE, IL US","13","2,N","10","2,N","1","2,N","","","","","20190430",",2,N","","","28.7","2,,N,30,","125.0","2,,,N","",""
