"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MIWY0052","2014-05","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","12",",N","9",",N","2",",N","","","","","","","","","20140529",",,N","","","","","27.2",",,N,29,","112.9",",,,N","",""
"US1MIWY0052","2014-06","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","11","1,N","8","1,N","1","1,N","","","","","","","","","20140618",",1,N","","","","","39.4","1,,N,18,","120.2","1,,,N","",""
"US1MIWY0052","2014-10","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","13",",N","5",",N","0",",N","","","","","","","","","20141015",",,N","","","","","18.3",",,N,15,","53.6",",,,N","",""
"US1MIWY0052","2014-11","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","11",",N","2",",N","1",",N","","","","","","","","","20141124",",,N","","","","","30.0",",,N,24,","46.1",",,,N","",""
"US1MIWY0052","2014-12","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","7","2,N","6","2,N","0","2,N","","","0","5,N","","","20141229","+,5,N","20141225",",2,N","","","0","5,T,N,29,+","15.0","2,,N,25,","41.3","2,,,N","0","5,T,,N"
"US1MIWY0052","2015-01","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","9",",N","3",",N","0",",N","13","3,N","4","1,N","20150122","+,3,N","20150122","+,1,N","20150104",",,N","76","3,,N,22,+","51","1,,N,22,+","15.7",",,N,04,","31.1",",,,N","198","1,,,N"
"US1MIWY0052","2015-02","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","8","2,N","1","2,N","0","2,N","25","2,N","3","2,N","20150205","+,2,N","20150202",",2,N","20150202",",2,N","203","2,,N,05,+","191","2,,N,02,","22.4","2,,N,02,","29.4","2,,,N","311","2,,,N"
"US1MIWY0052","2015-03","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","4","4,N","3","4,N","0","4,N","","","","","","","","","20150304",",4,N","","","","","7.9","4,,N,04,","21.2","4,,,N","",""
"US1MIWY0052","2015-04","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","13",",N","5",",N","0",",N","","","","","","","","","20150410",",,N","","","","","21.3",",,N,10,","63.5",",,,N","",""
"US1MIWY0052","2015-05","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","17",",N","7",",N","1",",N","","","","","","","","","20150531",",,N","","","","","67.8",",,N,31,","141.0",",,,N","",""
"US1MIWY0052","2015-06","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","16",",N","11",",N","2",",N","","","","","","","","","20150610",",,N","","","","","28.4",",,N,10,","135.8",",,,N","",""
"US1MIWY0052","2015-07","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","9","3,N","8","3,N","0","3,N","","","","","","","","","20150709",",3,N","","","","","9.4","3,,N,09,","47.0","3,,,N","",""
"US1MIWY0052","2015-09","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","7","4,N","5","4,N","1","4,N","","","","","","","","","20150904",",4,N","","","","","26.9","4,,N,04,","48.4","4,,,N","",""
"US1MIWY0052","2015-10","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","6",",N","6",",N","0",",N","","","","","","","","","20151028",",,N","","","","","18.8",",,N,28,","45.0",",,,N","",""
"US1MIWY0052","2015-11","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","13",",N","8",",N","1",",N","","","","","","","","","20151122",",,N","","","","","30.2",",,N,22,","83.2",",,,N","",""
"US1MIWY0052","2015-12","42.417046","-83.343613","195.7","LIVONIA 2.0 NE, MI US","12",",N","7",",N","0",",N","","","","","","","","","20151229",",,N","","","","","23.4",",,N,29,","62.1",",,,N","",""
