"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NCCN0067","2014-09","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","14",",N","11",",N","3",",N","","","","","20140913",",,N","","","56.1",",,N,13,","197.1",",,,N","",""
"US1NCCN0067","2014-10","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","5","1,N","4","1,N","1","1,N","","","","","20141016",",1,N","","","35.1","1,,N,16,","58.3","1,,,N","",""
"US1NCCN0067","2014-11","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","8",",N","7",",N","2",",N","","","","","20141127",",,N","","","36.3",",,N,27,","112.1",",,,N","",""
"US1NCCN0067","2014-12","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","11",",N","7",",N","1",",N","","","","","20141225",",,N","","","56.1",",,N,25,","129.3",",,,N","",""
"US1NCCN0067","2015-01","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","12","1,N","6","1,N","1","1,N","","","","","20150124",",1,N","","","36.1","1,,N,24,","105.8","1,,,N","",""
"US1NCCN0067","2015-02","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","10","1,N","8","1,N","1","1,N","","","","","20150226",",1,N","","","34.8","1,,N,26,","112.4","1,,,N","",""
"US1NCCN0067","2015-03","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","12",",N","6",",N","1",",N","","","","","20150315",",,N","","","33.0",",,N,15,","95.8",",,,N","",""
"US1NCCN0067","2015-04","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","10",",N","4",",N","0",",N","","","","","20150420",",,N","","","19.6",",,N,20,","46.4",",,,N","",""
"US1NCCN0067","2015-05","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","9",",N","6",",N","2",",N","","","","","20150511",",,N","","","48.3",",,N,11,","127.5",",,,N","",""
"US1NCCN0067","2015-06","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","12","2,N","11","2,N","2","2,N","","","","","20150604",",2,N","","","33.3","2,,N,04,","156.9","2,,,N","",""
"US1NCCN0067","2015-07","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","10",",N","6",",N","1",",N","","","","","20150724",",,N","","","106.9",",,N,24,","182.5",",,,N","",""
"US1NCCN0067","2015-08","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","10",",N","6",",N","3",",N","","","","","20150812",",,N","","","82.3",",,N,12,","176.9",",,,N","",""
"US1NCCN0067","2015-09","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","16","1,N","11","1,N","1","1,N","","","","","20150929",",1,N","","","41.7","1,,N,29,","187.2","1,,,N","",""
"US1NCCN0067","2015-10","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","10","2,N","6","2,N","2","2,N","","","","","20151003",",2,N","","","71.9","2,,N,03,","155.5","2,,,N","",""
"US1NCCN0067","2015-11","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","11",",N","8",",N","3",",N","","","","","20151120",",,N","","","39.6",",,N,20,","162.8",",,,N","",""
"US1NCCN0067","2015-12","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","13",",N","9",",N","4",",N","","","","","20151231",",,N","","","32.0",",,N,31,","147.1",",,,N","",""
"US1NCCN0067","2016-01","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","8","2,N","5","2,N","1","2,N","","","","","20160123",",2,N","","","45.0","2,,N,23,","92.1","2,,,N","",""
"US1NCCN0067","2016-02","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","10",",N","9",",N","3",",N","","","","","20160205",",,N","","","57.2",",,N,05,","192.6",",,,N","",""
"US1NCCN0067","2016-03","35.090558","-77.089713","5.2","TRENT WOODS 1.0 NNE, NC US","8","1,N","7","1,N","1","1,N","","","","","20160315",",1,N","","","28.4","1,,N,15,","96.0","1,,,N","",""
