"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10pier005","2006-07","42.355","-97.7962","515.1","PLAINVIEW 0.4 NW, NE US","6",",N","2",",N","0",",N","0",",N","0",",N","20060731","+,,N","20060731","+,,N","20060708",",,N","0",",,N,31,+","0",",,N,31,+","9.4",",,N,08,","17.3",",,,N","0",",,,N"
"US10pier005","2006-08","42.355","-97.7962","515.1","PLAINVIEW 0.4 NW, NE US","11",",N","9",",N","1",",N","0",",N","0",",N","20060831","+,,N","20060831","+,,N","20060802",",,N","0",",,N,31,+","0",",,N,31,+","30.2",",,N,02,","92.8",",,,N","0",",,,N"
"US10pier005","2006-10","42.355","-97.7962","515.1","PLAINVIEW 0.4 NW, NE US","2","1,N","2","1,N","0","1,N","0","1,N","0","1,N","20061031","+,1,N","20061031","+,1,N","20061009",",1,N","0","1,,N,31,+","0","1,,N,31,+","15.5","1,,N,09,","21.3","1,,,N","0","1,,,N"
"US10pier005","2006-11","42.355","-97.7962","515.1","PLAINVIEW 0.4 NW, NE US","0","4,N","0","4,N","0","4,N","0","4,N","0","4,N","20061130","+,4,N","20061130","+,4,N","20061127",",4,N","0","4,,N,30,+","0","4,,N,30,+","0.0","4,T,N,27,","0.0","4,T,,N","0","4,,,N"
"US10pier005","2007-04","42.355","-97.7962","515.1","PLAINVIEW 0.4 NW, NE US","9","1,N","8","1,N","1","1,N","","","0","1,N","","","20070430","+,1,N","20070424",",1,N","","","0","1,,N,30,+","29.2","1,,N,24,","109.0","1,,,N","0","1,,,N"
"US10pier005","2007-05","42.355","-97.7962","515.1","PLAINVIEW 0.4 NW, NE US","10","3,N","8","3,N","2","3,N","","","0","3,N","","","20070531","+,3,N","20070506",",3,N","","","0","3,,N,31,+","57.7","3,,N,06,","151.5","3,,,N","0","3,,,N"
"US10pier005","2007-06","42.355","-97.7962","515.1","PLAINVIEW 0.4 NW, NE US","8","4,N","6","4,N","1","4,N","","","0","5,N","","","20070630","+,5,N","20070614",",4,N","","","0","5,,N,30,+","33.0","4,,N,14,","59.2","4,,,N","0","5,,,N"
"US10pier005","2007-08","42.355","-97.7962","515.1","PLAINVIEW 0.4 NW, NE US","12","3,N","9","3,N","2","3,N","","","0","3,N","","","20070831","+,3,N","20070823",",3,N","","","0","3,,N,31,+","53.3","3,,N,23,","122.8","3,,,N","0","3,,,N"
"US10pier005","2007-09","42.355","-97.7962","515.1","PLAINVIEW 0.4 NW, NE US","7","2,N","7","2,N","0","2,N","","","0","2,N","","","20070930","+,2,N","20070929",",2,N","","","0","2,,N,30,+","19.1","2,,N,29,","62.6","2,,,N","0","2,,,N"
"US10pier005","2007-10","42.355","-97.7962","515.1","PLAINVIEW 0.4 NW, NE US","12","4,N","9","4,N","4","4,N","","","0","4,N","","","20071031","+,4,N","20071015",",4,N","","","0","4,,N,31,+","52.1","4,,N,15,","226.8","4,,,N","0","4,,,N"
