"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INMR0132","2014-06","39.890667","-86.119217","223.1","INDIANAPOLIS 8.0 N, IN US","19",",N","12",",N","0",",N","","","","","20140603",",,N","","","20.8",",,N,03,","142.3",",,,N","",""
"US1INMR0132","2014-07","39.890667","-86.119217","223.1","INDIANAPOLIS 8.0 N, IN US","17","1,N","8","1,N","2","1,N","","","","","20140724",",1,N","","","32.8","1,,N,24,","117.2","1,,,N","",""
"US1INMR0132","2014-08","39.890667","-86.119217","223.1","INDIANAPOLIS 8.0 N, IN US","20","2,N","8","2,N","0","2,N","","","","","20140824",",2,N","","","15.5","2,,N,24,","60.8","2,,,N","",""
"US1INMR0132","2014-09","39.890667","-86.119217","223.1","INDIANAPOLIS 8.0 N, IN US","9","1,N","5","1,N","1","1,N","","","","","20140911",",1,N","","","67.1","1,,N,11,","111.2","1,,,N","",""
"US1INMR0132","2014-10","39.890667","-86.119217","223.1","INDIANAPOLIS 8.0 N, IN US","19",",N","9",",N","0",",N","","","","","20141014",",,N","","","19.8",",,N,14,","87.6",",,,N","",""
"US1INMR0132","2014-11","39.890667","-86.119217","223.1","INDIANAPOLIS 8.0 N, IN US","10","3,N","5","3,N","1","3,N","","","","","20141124",",3,N","","","46.2","3,,N,24,","74.0",",a,,N","",""
"US1INMR0132","2014-12","39.890667","-86.119217","223.1","INDIANAPOLIS 8.0 N, IN US","","","","","","","","","","","","","","","","","67.5","2,a,,N","",""
"US1INMR0132","2015-02","39.890667","-86.119217","223.1","INDIANAPOLIS 8.0 N, IN US","8","1,N","3","1,N","0","1,N","","","","","20150202",",1,N","","","9.4","1,,N,02,","25.5","1,,,N","",""
"US1INMR0132","2015-03","39.890667","-86.119217","223.1","INDIANAPOLIS 8.0 N, IN US","12","1,N","9","1,N","0","1,N","","","","","20150314",",1,N","","","21.3","1,,N,14,","96.2","1,,,N","",""
"US1INMR0132","2015-04","39.890667","-86.119217","223.1","INDIANAPOLIS 8.0 N, IN US","16",",N","9",",N","2",",N","","","","","20150409",",,N","","","42.7",",,N,09,","128.4",",,,N","",""
"US1INMR0132","2015-05","39.890667","-86.119217","223.1","INDIANAPOLIS 8.0 N, IN US","15","1,N","8","1,N","1","1,N","","","","","20150531",",1,N","","","39.1","1,,N,31,","84.2","1,,,N","",""
